Project Title / Titre du projet,Project Leader / Responsable du projet,Project Managers / Gestionnaires de Projet,Maximum CFI contribution / contribution maximale de la FCI,Final Decision / Décision finale,Institution / Établissement
"CIHR team in familial breast cancer risk:
Assessment,  communication and management","George, Éric","Villeneuve, Laurent","$417,740.00 CAD",01-APR-12,Laurentian University of Sudbury
Montreal centre for experimental therapeutics in cancer,"Telmer, Kevin H.","Petrucka, Pammla;Endicott-Popovsky, Barbara E.","$275,304.00 CAD",01-OCT-15,École de technologie supérieure
Identifying signal transduction pathways regulated by the inhibitors of apoptosis proteins (IAPs) and their roles in cancer,"Rylett, Jane Rebecca","Denzinger, Jörg;Gregoire, Étienne","$174,764.00 CAD",01-JAN-03,Cape Breton University
CEACAM1 in colon cancer progression and metastasis,"Warren, Sandra","Leroux, Michel Rejean","$509,793.00 CAD",01-OCT-98,Woods Hole Oceanographic Institution
"A multidisciplinary cancer pain research network to improve the classification, assessment, and management of difficult cancer pain problems","Endicott-Popovsky, Barbara E.","Anderson, Gail I.;Wright, Gerard D.","$861,778.00 CAD",01-NOV-93,University of Regina
Molecular epidemiology of breast cancer,"Desrosiers, Johanne","Endicott-Popovsky, Barbara E.","$779,780.00 CAD",01-FEB-05,Mount Allison University
Toronto general hospital / Ontario cancer institute centralized flow cytometry facility,"Montpetit, Eric","Vliet, Bruce Nichols Van;Villeneuve, Laurent","$135,989.00 CAD",01-JAN-02,University of Oxford
Central nervous system (CNS)controls of cancer anorexia - cachexia syndrome,"Macdonald, Mary Ellen","Vliet, Bruce Nichols Van;Balaux, Elise","$225,540.00 CAD",01-JAN-06,Brock University
Wnt signalling circuitries in development and cancer.,"Peter, Yves-Alain","Joober, Ridha","$259,337.00 CAD",01-JAN-88,Québec en Outaouais
Antibody-targeted liposomal anticancer drugs in the treatment of B-cell malignancies,"Balaux, Elise",", ","$851,042.00 CAD",01-OCT-14,National Institutes of Health
Discovery and characterization of clinically important changes in axillary node-negative breast cancer.,"Plummer, Francis Allan","Corbett, Dale Ronald","$557,220.00 CAD",01-FEB-91,Université du Québec à Trois-Rivières
Lipid-based nanopharmaceuticals alone and in combination to treat aggressive forms of cancer:
Design and development of formulations capable of causing tumor specific blood vessel damage,"Guha, Abhijit","Rylett, Jane Rebecca;Vliet, Bruce Nichols Van","$613,042.00 CAD",01-JAN-06,Surface Canada Inc.
A prospective study of intervals and delays in the diagnosis of cancer,"Gagnon, Étienne","Endicott-Popovsky, Barbara E.","$156,245.00 CAD",01-FEB-89,Massachusetts Institute of Technology
FXR:
a promising target for prostate cancer treatment,"Curadeau, Emile Brisson","Pelletier, Marie Eve","$513,314.00 CAD",01-OCT-93,University of Calgary
Toward epigenetic therapy for colon cancer,"Telmer, Kevin H.","Anstey, Kaarin J;George, Éric","$801,633.00 CAD",01-JAN-95,Spar Aerospace Ltd
PP2a protein serine/threonine phosphatase mutations in cancer:
functional consequences and clinical relevance,", ","Guha, Abhijit","$346,400.00 CAD",01-MAR-85,University of Northern British Columbia
Radiolabelled peptides to improve cancer diagnosis by positron emission tomography / Peptides radiomarqués pour améliorer le diagnostic du cancer par tomographie à émission de positron,"Wu, Xiao","Nikiel, Jacek;Belleville, Sylvie Ninon","$58,275.00 CAD",01-FEB-16,Cominco Engineering Services Ltd
Treating cancer with antisense oligonucleotides and small interfering RNAs:
Improving the therapeutic potential of these nucleic acid drugs through use of lipid-based carrier technology,"Vliet, Bruce Nichols Van","Villeneuve, Laurent;Wright, Gerard D.","$971,000.00 CAD",01-APR-91,Ballard Power Systems Inc.
Liposome-vascular endothelium interactions:
Anticancer drug combinations utilizing drug formulations that alter tumor associated vasculature.,"Desrosiers, Johanne","Balaux, Elise","$278,684.00 CAD",01-OCT-98,Carleton University
Cooperation between the Notch and the kRas signaling pathways in pancreatic cancer progression.,"Plummer, Francis Allan","Endicott-Popovsky, Barbara E.","$127,912.00 CAD",01-FEB-00,GE Glegg Water Technologies Inc.
"Caspase-2 activation, cell dismantling and DNA fragmentation pathways involved in anticancer drug-induced apoptosis","Belleville, Sylvie Ninon","Loeb, Lawrence Arthur","$749,298.00 CAD",01-MAR-10,McMaster University
A randomized controlled trial of the effectiveness of a coping strategies intervention for people with head and neck cancer,"Joober, Ridha","Warren, Sandra;Macdonald, Mary Ellen","$675,860.00 CAD",01-APR-14,Acadia University
"Lysosomal involvement in cancer chemotherapy-induced apoptosis:
Cross-talk with the sphingosine, mitochondrial and proteolytic caspase cascade pathways","Hultsch, David F.","Rene, Eloise","$616,649.00 CAD",01-MAR-93,York University
Determinants of performance in the Quebec breast cancer screening program (PQDCS),"Sulkin, Carlos David Londono","Pelletier, Marie Eve","$224,093.00 CAD",01-MAR-98,Maple Leaf Foods Inc.
Le rôle du médecin de famille dans le suivi de patients atteints de cancer,"Macdonald, Mary Ellen","Belleville, Sylvie Ninon;Wu, Xiao","$703,112.00 CAD",01-APR-92,Nova Scotia Agricultural College
Assessing the uptake and effectiveness of laparoscopic surgery for colorectal cancer in Ontario,"Macdonald, Mary Ellen","Wright, Gerard D.","$689,066.00 CAD",01-FEB-96,Dalhousie University
Identification of novel genes involved in breast cancer using the breast cancer family registry,"Leroux, Michel Rejean","Joober, Ridha;Hultsch, David F.","$430,294.00 CAD",01-SEP-97,Atlantis Scientific Inc.
Radiometals produced by liquid targets for molecular imaging of cancer,"Anderson, Gail I.","Plummer, Francis Allan;Devost, Eric","$722,711.00 CAD",01-APR-91,Arizona State University
Promotion of breast cancer metastasis by tumour hypoxia and myeloid cells.,"Walter, Michael A.","Belleville, Sylvie Ninon","$953,950.00 CAD",01-MAR-04,Université du Québec à Trois-Rivières
Biological dissection of protein network involved in coupling membrane protrusions and cell adhesions in invasive cancer cells,"Walter, Michael A.","Peter, Yves-Alain;Petrucka, Pammla","$372,806.00 CAD",01-SEP-16,Queen's University
Le rôle de la tomographie d'émission par positron dans la caractérisation métabolique et endocrinienne des cancers du sein,"Belleville, Sylvie Ninon","Montpetit, Éric","$452,590.00 CAD",01-SEP-04,University of British Columbia
